#Positive parity populations listed in first column
NEnergy= 8.45005   Entries 13
9    0.0000419   0.0000309   
10   0.0000000   0.0000165   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 2.6500515   Entries 13
0    0.2165469   0.0001762   
1    0.6630540   0.0009856   
2    0.0572414   0.0011425   
3    0.0493534   0.0010367   
4    0.0014906   0.0008894   
5    0.0010838   0.0005900   
6    0.0001582   0.0015030   
7    0.0001083   0.0028348   
8    0.0000437   0.0017103   
9    0.0000238   0.0000179   
10   0.0000000   0.0000095   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 2.5500515   Entries 13
0    0.1754425   0.0002521   
1    0.5578619   0.0014065   
2    0.1338344   0.0016289   
3    0.1146085   0.0014810   
4    0.0023876   0.0012701   
5    0.0017311   0.0008447   
6    0.0002341   0.0017590   
7    0.0001603   0.0030908   
8    0.0000648   0.0018650   
9    0.0000353   0.0000269   
10   0.0000000   0.0000144   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 2.4500515   Entries 13
0    0.0888628   0.0003003   
1    0.3373935   0.0016728   
2    0.2987701   0.0019362   
3    0.2541664   0.0017627   
4    0.0032094   0.0015113   
5    0.0023196   0.0010075   
6    0.0002884   0.0017778   
7    0.0001977   0.0028985   
8    0.0000800   0.0017497   
9    0.0000436   0.0000337   
10   0.0000000   0.0000180   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 2.3500515   Entries 13
0    0.0272977   0.0001797   
1    0.1824077   0.0009988   
2    0.4215983   0.0011553   
3    0.3564496   0.0010534   
4    0.0021808   0.0009030   
5    0.0015710   0.0006038   
6    0.0001783   0.0009317   
7    0.0001223   0.0014086   
8    0.0000496   0.0008508   
9    0.0000270   0.0000212   
10   0.0000000   0.0000113   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 2.2500515   Entries 13
0    0.0054516   0.0000599   
1    0.1286618   0.0003322   
2    0.4681433   0.0003841   
3    0.3936353   0.0003507   
4    0.0008320   0.0003006   
5    0.0005973   0.0002016   
6    0.0000614   0.0002792   
7    0.0000422   0.0003921   
8    0.0000171   0.0002370   
9    0.0000093   0.0000074   
10   0.0000000   0.0000040   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 2.1500515   Entries 13
